"Nombre","Telefono","Email","Ultima_Compra","Frecuencia","Producto","Estado","Motivo_Abandono","Contactado","Respondio","Compro","Fecha_Reactivacion","Valor_Compra"
"Pedro 0","3170888712","user0@mail.com","2025-08-25","Alta","Leche","Inactivo","No lo encuentra","Sí","Sí","No","",""
"Laura 1","3102252729","user1@mail.com","2025-10-10","Baja","Yogur","Inactivo","Otra marca","Sí","No","No","",""
"Carlos 2","3549081593","user2@mail.com","2025-10-17","Baja","Yogur","Inactivo","Otro","Sí","Sí","Sí","2026-04-17","78754"
"Juan 3","3573426331","user3@mail.com","2025-10-15","Media","Queso","Inactivo","Precio","Sí","Sí","Sí","2026-04-17","30845"
"Diego 4","3658291399","user4@mail.com","2025-12-20","Baja","Leche","Inactivo","No lo encuentra","Sí","No","No","",""
"Luisa 5","3219344807","user5@mail.com","2025-10-25","Baja","Avena","Inactivo","No lo encuentra","Sí","No","No","",""
"Maria 6","3761314285","user6@mail.com","2026-01-19","Media","Queso","Inactivo","No lo encuentra","No","No","No","",""
"Luisa 7","3134785426","user7@mail.com","2026-03-04","Media","Yogur","Inactivo","Otra marca","Sí","Sí","No","",""
"Laura 8","3528944906","user8@mail.com","2025-04-24","Baja","Avena","Inactivo","Precio","Sí","No","No","",""
"Jorge 9","3590818685","user9@mail.com","2025-07-07","Baja","Queso","Inactivo","Otro","Sí","No","No","",""
"Pedro 10","3967833840","user10@mail.com","2025-10-30","Alta","Yogur","Inactivo","Otro","Sí","No","No","",""
"Laura 11","3591778722","user11@mail.com","2026-03-10","Alta","Queso","Inactivo","Otro","No","No","No","",""
"Jorge 12","3490903416","user12@mail.com","2025-06-09","Baja","Yogur","Inactivo","Precio","Sí","Sí","No","",""
"Ana 13","3779591622","user13@mail.com","2025-12-25","Media","Avena","Inactivo","No lo encuentra","Sí","No","No","",""
"Diego 14","3628531160","user14@mail.com","2025-11-03","Baja","Avena","Inactivo","No lo encuentra","No","No","No","",""
"Jorge 15","3668932798","user15@mail.com","2025-08-01","Baja","Yogur","Inactivo","Otro","No","No","No","",""
"Luisa 16","3562221129","user16@mail.com","2025-10-31","Alta","Queso","Inactivo","Otro","No","No","No","",""
"Jorge 17","3987455887","user17@mail.com","2025-08-21","Baja","Leche","Inactivo","Otra marca","No","No","No","",""
"Carlos 18","3763593273","user18@mail.com","2025-07-23","Media","Yogur","Inactivo","Otra marca","Sí","Sí","Sí","2026-04-17","41249"
"Carlos 19","3233605283","user19@mail.com","2026-03-12","Baja","Yogur","Inactivo","Otro","Sí","Sí","No","",""
"Ana 20","3782360434","user20@mail.com","2025-08-03","Alta","Yogur","Inactivo","Precio","No","No","No","",""
"Sofia 21","3217821252","user21@mail.com","2026-01-17","Alta","Avena","Inactivo","Otra marca","Sí","Sí","Sí","2026-04-17","43619"
"Luisa 22","3199983355","user22@mail.com","2025-06-21","Media","Leche","Inactivo","Precio","Sí","Sí","No","",""
"Laura 23","3797313917","user23@mail.com","2026-03-07","Alta","Leche","Inactivo","Otro","No","No","No","",""
